customer_id,churn,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,charges_daily,charges_monthly,charges_total,charges_monthly_seg,charges_total_seg,tenure_seg
0002-ORFBO,0,Female,0,1,1,9,1,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,2.19,65.6,593.3,Medio-bajo,Medio-bajo,Nuevo
0003-MKNFE,0,Male,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,2.0,59.9,542.4,Medio-bajo,Medio-bajo,Nuevo
0004-TLHLJ,1,Male,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,2.46,73.9,280.85,Medio-alto,Bajo,Nuevo
0011-IGKFF,1,Male,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,3.27,98.0,1237.85,Alto,Medio-bajo,Intermedio
0013-EXCHZ,1,Female,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,2.8,83.9,267.4,Medio-alto,Bajo,Nuevo
0013-MHZWF,0,Female,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),2.31,69.4,571.45,Medio-bajo,Medio-bajo,Nuevo
0013-SMEOE,0,Female,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),3.66,109.7,7904.25,Alto,Alto,Muy leal
0014-BMAQU,0,Male,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),2.82,84.65,5377.8,Medio-alto,Alto,Muy leal
0015-UOCOJ,0,Female,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,1.61,48.2,340.35,Medio-bajo,Bajo,Nuevo
0016-QLJIS,0,Female,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,3.02,90.45,5957.9,Alto,Alto,Muy leal
0017-DINOC,0,Male,0,0,0,54,0,No phone service,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),1.51,45.2,2460.55,Medio-bajo,Medio-alto,Leal
0017-IUDMW,0,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),3.89,116.8,8456.75,Alto,Alto,Muy leal
0018-NYROU,0,Female,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,2.3,68.95,351.5,Medio-bajo,Bajo,Nuevo
